Classification Level,Count
Actinobacteriota,269611
Proteobacteria,564212
Firmicutes,621728
Bacteroidota,180063
Synergistota,2610
Acidobacteriota,8944
Fusobacteriota,13446
Desulfobacterota,21390
Cyanobacteria,22484
Planctomycetota,11334
Spirochaetota,15532
Nitrospirota,2346
Chloroflexi,8587
Campylobacterota,15096
Deinococcota,2645
Coprothermobacterota,379
Gemmatimonadota,2257
Patescibacteria,846
Verrucomicrobiota,11025
Sumerlaeota,614
Elusimicrobiota,385
Cloacimonadota,737
Fibrobacterota,740
Thermotogota,976
Bdellovibrionota,2288
Abditibacteriota,240
Halanaerobiaeota,548
Myxococcota,4128
Methylomirabilota,267
Nitrospinota,705
Deferribacterota,420
Armatimonadota,91
Aquificota,1024
Thermodesulfobiota,14
Caldatribacteriota,117
Calditrichota,199
Entotheonellaeota,89
Deferrisomatota,32
Latescibacterota,167
Caldisericota,43
Dictyoglomota,20
Hydrogenedentes,102
Dependentiae,6
Thermosulfidibacterota,3
Chrysiogenetota,13
Modulibacteria,9
