Classification Level,Count
Gammaproteobacteria,448956
Clostridia,170544
Thermodesulfovibrionia,138
Actinobacteria,257644
Desulfovibrionia,4488
Bacilli,427922
Blastocatellia,2644
Syntrophobacteria,283
Desulfobacteria,9345
Bacteroidia,174052
Fusobacteriia,13446
Cyanobacteriia,22406
Alphaproteobacteria,114766
Synergistia,2610
Spirochaetia,12751
Coprothermobacteria,379
Negativicutes,16980
Rhodothermia,5099
Campylobacteria,15037
Polyangia,2389
Planctomycetes,8770
Myxococcia,1739
Coriobacteriia,4321
Thermoanaerobacteria,1447
Saccharimonadia,834
Nitrospinia,705
Bdellovibrionia,1959
Anaerolineae,6540
Desulfuromonadia,1841
Desulfurellia,59
Acidobacteriae,4550
Oligoflexia,329
Verrucomicrobiae,8592
Chlamydiae,1322
Desulfobulbia,3194
Leptospirae,2019
Abditibacteria,240
Acidimicrobiia,6034
Kiritimatiellae,339
Chloroflexia,1121
Symbiobacteriia,1362
Deinococci,2645
Gemmatimonadetes,2190
Syntrophomonadia,456
Cloacimonadia,737
Calditrichia,199
Hydrogenedentia,102
Nitrospiria,1531
Desulfotomaculia,1290
Leptospirillia,677
Thermotogae,976
Sulfobacillia,277
Phycisphaerae,1881
Deferribacteres,420
Aquificae,979
Dethiobacteria,191
Thermacetogenia,129
Sumerlaeia,614
Rubrobacteria,466
Thermodesulfobacteria,153
Thermoleophilia,1146
Brocadiae,683
Thermoanaerobaculia,1145
Syntrophia,1099
Holophagae,403
Syntrophorhabdia,303
Desulfitobacteriia,870
Brachyspirae,736
Chlorobia,520
Dissulfuribacteria,142
Vampirivibrionia,78
Endomicrobia,354
Moorellia,156
Zetaproteobacteria,217
Dehalococcoidia,374
Caldatribacteriia,117
Ktedonobacteria,552
Halanaerobiia,548
Desulfomonilia,365
Methylomirabilia,267
Omnitrophia,506
Lentisphaeria,266
Magnetococcia,273
Vicinamibacteria,202
Fibrobacteria,699
Desulfarculia,45
Longimicrobia,67
Entotheonellia,89
Latescibacteria,167
Thermincolia,19
Desulfurobacteriia,45
Ignavibacteria,361
Caldisericia,43
Desulfobaccia,107
Chthonomonadetes,48
Armatimonadia,34
Elusimicrobia,31
Chitinivibrionia,41
Natranaerobiia,39
Desulfofervidia,25
Limnochordia,12
Chrysiogenetes,13
Kryptonia,31
Defferrisomatia,32
Thermodesulfobiia,14
Dictyoglomia,20
Parcubacteria,12
Thermaerobacteria,18
Brevinematia,26
Incertae Sedis,16
