Classification Level,Count
Streptomyces cinnamoneus,22
Streptomyces bottropensis,26
Schaalia odontolytica,26
Streptomyces canus,39
Streptomyces albulus,27
Streptomyces bacillaris,35
Pseudonocardia carboxydivorans,21
Arthrobacter flavus,26
Amycolatopsis orientalis,22
Streptomyces corchorusii,24
synthetic construct,26
Plantibacter flavus,23
Paenarthrobacter aurescens,49
Micromonospora purpureochromogenes,25
Streptomyces abikoensis,39
Streptomyces drozdowiczii,30
Streptomyces ossamyceticus,21
Nocardiopsis salina,22
Micromonospora chersina,23
Candidatus Streptomyces philanthi bv. triangulum diadema,21
Streptomyces macrosporeus,23
Streptomyces misionensis,22
