Classification Level,Count
Flavobacteriaceae,21698
Streptosporangiaceae,3292
Acholeplasmataceae,4769
Prolixibacteraceae,16664
Bacillaceae,80911
Pseudomonadaceae,54440
Propionibacteriaceae,62769
Staphylococcaceae,142438
Oxalobacteraceae,10059
Chitinophagaceae,5880
Lactobacillaceae,40576
Lachnospiraceae,81830
Halothiobacillaceae,492
Comamonadaceae,40780
Streptococcaceae,80184
Mycoplasmataceae,3795
Moraxellaceae,37924
Microscillaceae,2278
Neisseriaceae,17132
Microcystaceae,1081
Bacteroidaceae,38678
Micrococcaceae,21494
Corynebacteriaceae,74331
Intrasporangiaceae,2197
Ruminococcaceae,23294
Alcaligenaceae,8135
Rhodobacteraceae,21199
Selenomonadaceae,3148
Thioglobaceae,2954
Enterobacteriaceae,83741
Polyangiaceae,668
Clade I,7460
Veillonellaceae,11073
Sulfurimonadaceae,1933
Erysipelatoclostridiaceae,3517
Nocardiaceae,7817
Mycobacteriaceae,13282
Aeromonadaceae,7419
Acetobacteraceae,5739
Morganellaceae,6107
Rhizobiales Incertae Sedis,1690
Hungateiclostridiaceae,4639
Enterococcaceae,15825
Weeksellaceae,14473
Microbacteriaceae,12920
Pasteurellaceae,18965
Nocardiopsaceae,1522
Exiguobacteraceae,2175
Clostridiaceae,13784
Streptomycetaceae,23686
Coleofasciculaceae,4435
Fusobacteriaceae,10389
Yersiniaceae,13413
Prevotellaceae,24507
Pectobacteriaceae,2047
Halomonadaceae,7243
Rhizobiaceae,23127
Peptostreptococcaceae,10012
Alteromonadaceae,3773
Pseudoalteromonadaceae,5471
Vibrionaceae,16274
Chlamydiaceae,967
Nitrincolaceae,1226
Oscillospiraceae,10941
Xanthomonadaceae,13955
Shewanellaceae,3122
Xanthobacteraceae,8828
Eurycoccales Incertae Sedis,31
Rhodanobacteraceae,2488
Desulfococcaceae,3829
Puniceicoccaceae,2100
Actinomycetaceae,6931
Erwiniaceae,7192
Geobacteraceae,1129
Moritellaceae,205
Listeriaceae,3831
Helicobacteraceae,2309
Burkholderiaceae,24762
Devosiaceae,1481
Limnotrichaceae,86
Rikenellaceae,8771
Phormidesmiaceae,161
Akkermansiaceae,2135
Solibacteraceae,1137
Synergistaceae,2610
Hyphomicrobiaceae,1691
Dysgonomonadaceae,1921
Fusibacteraceae,999
Atopobiaceae,1211
Sedimentibacteraceae,300
Sphingomonadaceae,16255
Bifidobacteriaceae,3283
Desulfatiglandaceae,1515
Spirochaetaceae,12751
Pirellulaceae,5701
Leptospiraceae,2019
Aerococcaceae,5134
Thermoanaerobaculaceae,1145
Bryobacteraceae,1599
Gemellaceae,6319
Microbulbiferaceae,289
Cyanobiaceae,5317
Desulfobacteraceae,936
Sulfurovaceae,2861
Paenibacillaceae,8067
Nitrospiraceae,1531
Ktedonobacteraceae,552
Alcanivoracaceae1,1858
Erysipelotrichaceae,6831
Sphingobacteriaceae,4473
Eubacteriaceae,524
Cytophagaceae,209
Beijerinckiaceae,6190
Brevibacillaceae,1881
Rhodocyclaceae,6661
Rhodothermaceae,4470
Arcobacteraceae,2293
Leptotrichiaceae,3057
Family XI,12802
Myxococcaceae,1535
Spirosomaceae,1524
Cyclobacteriaceae,2297
Tannerellaceae,3838
Gemmataceae,1150
Dermabacteraceae,1234
Chromobacteriaceae,982
Carnobacteriaceae,9800
Planococcaceae,7361
Halieaceae,1508
Brevibacteriaceae,1936
Succinivibrionaceae,1281
Gemmatimonadaceae,2190
Symbiobacteraceae,1362
Porphyromonadaceae,5320
Balneolaceae,629
Marinilabiliaceae,2996
Cardiobacteriaceae,1925
Desulfomicrobiaceae,293
Marinifilaceae,2487
Syntrophaceae,797
Campylobacteraceae,5045
Pseudonocardiaceae,4012
Rubinisphaeraceae,763
Parvibaculaceae,218
Arenicellaceae,450
Micavibrionaceae,246
Nitrosomonadaceae,2582
Christensenellaceae,4827
Saprospiraceae,5280
Methylophilaceae,2347
Phormidiaceae,1264
Salinivirgaceae,1221
Koribacteraceae,187
Blastocatellaceae,1354
Entomoplasmatales Incertae Sedis,241
Rickettsiaceae,941
Idiomarinaceae,1032
Caldicellulosiraptoraceae,648
Cellvibrionaceae,732
Nostocaceae,3881
Marinobacteraceae,2651
Promicromonosporaceae,858
Thermicanaceae,146
Azospirillales Incertae Sedis,108
Marinomonadaceae,527
Leptospirillaceae,677
Methylomonadaceae,1116
Blattabacteriaceae,900
Saccharimonadaceae,834
Steroidobacteraceae,1239
Syntrophobacteraceae,271
Anaerolineaceae,5863
Bdellovibrionaceae,1204
Pelotomaculaceae,236
Family III,173
Cyanobacteriaceae,306
Sandaracinaceae,551
Acidobacteriaceae (Subgroup 1),1627
Magnetospirillaceae,221
Chthonomonadaceae,48
Ectothiorhodospiraceae,939
Desulfurisporaceae,270
Hydrogenothermaceae,443
Caldilineaceae,451
Eggerthellaceae,1290
Endozoicomonadaceae,1457
Desulfotomaculales Incertae Sedis,106
Dietziaceae,1144
Omnitrophaceae,506
Acidithiobacillaceae,1821
Thiotrichaceae,1725
Halorhodospiraceae,162
Ilumatobacteraceae,1306
Desulfosarcinaceae,2939
Amoebophilaceae,536
Anaerovoracaceae,2423
Peptococcaceae,453
Acidaminococcaceae,2029
Sporichthyaceae,1609
Paludibacteraceae,883
Isosphaeraceae,784
Rhodospirillaceae,525
Desulfurivibrionaceae,190
Coriobacteriaceae,1717
A4b,31
Monoglobaceae,661
Methylophagaceae,644
Phaselicystidaceae,153
Sulfurospirillaceae,408
Hydrogenobaculaceae,327
Chroococcidiopsaceae,555
Woeseiaceae,1116
Francisellaceae,678
Phycisphaeraceae,1849
Sumerlaeaceae,614
Micromonosporaceae,4671
Colwelliaceae,1129
Desulfohalobiaceae,953
Nitrospinaceae,705
Actinomarinaceae,1955
Anaplasmataceae,2428
Diplorickettsiaceae,667
Thiomicrospiraceae,673
Desulfocapsaceae,2271
Spiroplasmataceae,468
Unknown Family,1779
Hafniaceae,1104
Desulfovibrionaceae,3029
Lentimicrobiaceae,845
Chthoniobacteraceae,1170
Desulfotomaculaceae,536
Dongiaceae,481
Flammeovirgaceae,132
Legionellaceae,1829
Gallionellaceae,869
Sutterellaceae,2415
Kyrpidiaceae,127
Deinococcaceae,1109
Petrotogaceae,440
Desulfitobacteriaceae,614
Nocardioidaceae,3212
Azospirillaceae,965
Nautiliaceae,109
Immundisolibacteraceae,297
Leptolyngbyaceae,2720
Rubidibacteraceae,572
Syntrophomonadaceae,456
Nitrococcaceae,194
Glycomycetaceae,213
Vampirovibrionaceae,35
Solimonadaceae,406
Caloramatoraceae,634
Butyricicoccaceae,837
Thermomonosporaceae,1148
Kineosporiaceae,320
Nitrosococcaceae,560
Thermoanaerobacteraceae,618
Thermaceae,985
Hydrogenophilaceae,1306
Defluviitaleaceae,301
Pedosphaeraceae,624
Caulobacteraceae,5039
Fokiniaceae,109
Cloacimonadaceae,737
Chromatiaceae,1507
Micrococcales Incertae Sedis,101
Orbaceae,609
Brachyspiraceae,684
Coxiellaceae,627
Stappiaceae,862
Opitutaceae,807
Fodinicurvataceae,166
Spongiibacteraceae,445
Labraceae,125
Thermomicrobiaceae,59
Beggiatoaceae,454
Deferribacteraceae,420
Alcanivoracaceae,85
Desulfonatronaceae,33
Aquificaceae,209
Iamiaceae,365
Hymenobacteraceae,2075
Mariprofundaceae,217
