Classification Level,Count
Erysipelotrichales,10348
Xanthomonadales,16443
Bacillales,89027
Pseudomonadales,116015
Enterobacterales,173466
Flavobacteriales,39639
Peptostreptococcales-Tissierellales,26931
Ectothiorhodospirales,1197
Staphylococcales,148757
Bacteroidales,108815
Lactobacillales,155708
Acidaminococcales,2029
Corynebacteriales,96902
Burkholderiales,119165
Propionibacteriales,65981
Thermales,985
Chitinophagales,11160
Veillonellales-Selenomonadales,14951
Sphingobacteriales,5318
Streptomycetales,23686
Oscillospirales,39869
Cytophagales,9120
Cyanobacteriales,13146
Rhizobiales,45154
Lachnospirales,82131
Bifidobacteriales,3283
Campylobacterales,14928
Rickettsiales,3492
Actinomycetales,6979
Sphingomonadales,16255
Deinococcales,1660
Christensenellales,4827
Paenibacillales,8067
Blastocatellales,1354
Aquificales,536
Micrococcales,42368
Syntrophales,1099
Chromatiales,2132
Synergistales,2610
Clostridiales,14501
Micromonosporales,4671
Ktedonobacterales,552
Spirochaetales,12751
Pseudonocardiales,4012
Bryobacterales,1599
Pirellulales,5701
Thiotrichales,1725
Desulfovibrionales,4488
Desulfomonilales,365
Rhodobacterales,21199
Opitutales,2907
Desulfobulbales,3194
Thiomicrospirales,673
SAR11 clade,7460
Frankiales,2961
Kiloniellales,765
Nitrospirales,1531
Latescibacterales,167
Phycisphaerales,1849
Halanaerobiales,548
Fusobacteriales,13446
Acholeplasmatales,4769
Desulfobacterales,7830
Acidithiobacillales,1821
Vicinamibacterales,202
Anaerolineales,5863
Mycoplasmatales,3795
Microtrichales,3871
Rhodothermales,4470
Chlamydiales,1322
Leptolyngbyales,2720
Rhodospirillales,2209
Chthoniobacterales,1435
Streptosporangiales,5971
Actinomarinales,1955
Caulobacterales,7743
Steroidobacterales,2355
Pedosphaerales,624
Coriobacteriales,4321
Synechococcales,5379
Coxiellales,627
Chlorobiales,520
Bdellovibrionales,1204
Myxococcales,1739
Acetobacterales,5747
Leptospirales,2019
Leptospirillales,677
Methylococcales,1524
Balneolales,629
Syntrophomonadales,456
Desulfotomaculales,1148
Brevibacillales,1881
Caldatribacteriales,117
Saccharimonadales,834
Gemmatimonadales,2190
Eurycoccales,80
Syntrophobacterales,283
Caldilineales,451
Acidobacteriales,1814
Gloeobacterales,45
Isosphaerales,784
Legionellales,1829
Thermoactinomycetales,561
Francisellales,678
Entomoplasmatales,996
Polyangiales,1372
Desulfatiglandales,1515
Reyranellales,634
Cardiobacteriales,2033
Caldisericales,43
Desulfuromonadales,696
Brocadiales,683
Methylacidiphilales,240
Immundisolibacterales,297
Monoglobales,661
Chloroflexales,1026
Arenicellales,450
Thermotogales,330
Fibrobacterales,699
Alicyclobacillales,1149
Verrucomicrobiales,3386
Peptococcales,453
Haliangiales,800
Dethiobacterales,191
Coprothermobacterales,379
Euzebyales,179
Cloacimonadales,737
Thermoanaerobaculales,1145
Caldicoprobacterales,220
Competibacterales,308
Pyrinomonadales,1266
Solibacterales,1137
Sumerlaeales,614
Thermicanales,146
Thermodesulfovibrionales,114
Halothiobacillales,633
Symbiobacteriales,1362
Hydrogenedentiales,102
Gemmatales,1150
Desulfitobacteriales,870
Thermincolales,321
Azospirillales,1181
Kyrpidiales,127
Geobacterales,1137
Nitrosococcales,1204
Rubrobacterales,466
Bacteriovoracales,755
Defferrisomatales,32
Micropepsales,302
Omnitrophales,506
Hydrogenothermales,443
Gaiellales,385
Longimicrobiales,67
GIF9,66
Gammaproteobacteria Incertae Sedis,1527
Thermoanaerobacterales,799
Nitrospinales,705
Dehalococcoidales,308
Salinisphaerales,487
Moorellales,90
Thiohalorhabdales,86
Caldicellulosiruptorales,648
Phormidesmiales,515
Exiguobacterales,2175
Diplorickettsiales,667
Thermosynechococcales,126
